,teks
0,makhluk hidup objek kaji utama bidang biologi
1,biologi seluler cabang biologi ajar struktur fungsi sel makhluk hidup
2,jenis sel makhluk hidup
3,sel istilah biologi unit dasar hidup
4,inti sel kandung materi genetik bentuk dna
5,gen instruksi simpan dna sel
6,sel unit kecil susun tubuh makhluk hidup
7,biologi kembang diferensiasi sel proses sel kembang fungsi spesifik
8,makhluk hidup uniseluler makhluk hidup memilki sel tunggal multiseluler makhluk hidup organisme milik sel
9,biokimia cabang biologi ajar kimia dasar hidup makhluk hidup
10,studi biologi bantu paham kerja sistem makhluk hidup
11,evolusi proses utama biologi ubah populasi makhluk hidup
12,proses evolusi bentuk agam jenis sel dunia
13,evolusi sel hasil organel kompleks mitokondria kloroplas
14,teliti baru evolusi sel lanjut respons tekan seleksi lingkung ubah
